"Activity" "Subject" "x"
"LAYING" 1 0.22159824394
"SITTING" 1 0.261237565425532
"STANDING" 1 0.278917629056604
"WALKING" 1 0.277330758736842
"WALKING_DOWNSTAIRS" 1 0.289188320408163
"WALKING_UPSTAIRS" 1 0.255461689622641
"LAYING" 2 0.281373403958333
"SITTING" 2 0.27708735173913
"STANDING" 2 0.277911472222222
"WALKING" 2 0.276426586440678
"WALKING_DOWNSTAIRS" 2 0.27761534806383
"WALKING_UPSTAIRS" 2 0.247164790395833
"LAYING" 3 0.275516852741935
"SITTING" 3 0.257197599134615
"STANDING" 3 0.280046513278689
"WALKING" 3 0.275567462068966
"WALKING_DOWNSTAIRS" 3 0.292423484693878
"WALKING_UPSTAIRS" 3 0.260819873067797
"LAYING" 4 0.263559214981481
"SITTING" 4 0.27153827992
"STANDING" 4 0.280499745892857
"WALKING" 4 0.278582015166667
"WALKING_DOWNSTAIRS" 4 0.279965329555556
"WALKING_UPSTAIRS" 4 0.270876696730769
"LAYING" 5 0.278334325576923
"SITTING" 5 0.273694139545455
"STANDING" 5 0.282544390892857
"WALKING" 5 0.27784234625
"WALKING_DOWNSTAIRS" 5 0.29354392712766
"WALKING_UPSTAIRS" 5 0.268459469914894
"LAYING" 6 0.248656520140351
"SITTING" 6 0.276778487454545
"STANDING" 6 0.280346248596491
"WALKING" 6 0.283658868070175
"WALKING_DOWNSTAIRS" 6 0.277045258145833
"WALKING_UPSTAIRS" 6 0.268229355098039
"LAYING" 7 0.250176694038462
"SITTING" 7 0.284674637291667
"STANDING" 7 0.282723539433962
"WALKING" 7 0.275592961754386
"WALKING_DOWNSTAIRS" 7 0.28030708
"WALKING_UPSTAIRS" 7 0.248706923078431
"LAYING" 8 0.261254282907407
"SITTING" 8 0.267491472934783
"STANDING" 8 0.279620986111111
"WALKING" 8 0.27468631
"WALKING_DOWNSTAIRS" 8 0.283484089210526
"WALKING_UPSTAIRS" 8 0.258880152048781
"LAYING" 9 0.2591955368
"SITTING" 9 0.24832674354
"STANDING" 9 0.282310057333333
"WALKING" 9 0.278502842115385
"WALKING_DOWNSTAIRS" 9 0.295923445
"WALKING_UPSTAIRS" 9 0.262436475714286
"LAYING" 10 0.280230574137931
"SITTING" 10 0.270612056481481
"STANDING" 10 0.276650300681818
"WALKING" 10 0.278574076603774
"WALKING_DOWNSTAIRS" 10 0.290401594315789
"WALKING_UPSTAIRS" 10 0.267121853404255
"LAYING" 11 0.280592970877193
"SITTING" 11 0.276590197358491
"STANDING" 11 0.277715562765957
"WALKING" 11 0.271821892881356
"WALKING_DOWNSTAIRS" 11 0.291605631956522
"WALKING_UPSTAIRS" 11 0.263775859277778
"LAYING" 12 0.260113433
"SITTING" 12 0.275007224901961
"STANDING" 12 0.277405834918033
"WALKING" 12 0.2771286656
"WALKING_DOWNSTAIRS" 12 0.281521097391304
"WALKING_UPSTAIRS" 12 0.272970338653846
"LAYING" 13 0.276716360483871
"SITTING" 13 0.274328499591837
"STANDING" 13 0.277758431052632
"WALKING" 13 0.275883130350877
"WALKING_DOWNSTAIRS" 13 0.294907553404255
"WALKING_UPSTAIRS" 13 0.258203939581818
"LAYING" 14 0.233275439803922
"SITTING" 14 0.279990577037037
"STANDING" 14 0.280545613833333
"WALKING" 14 0.271959598644068
"WALKING_DOWNSTAIRS" 14 0.293422115555556
"WALKING_UPSTAIRS" 14 0.26242106612963
"LAYING" 15 0.2894756525
"SITTING" 15 0.27290337979661
"STANDING" 15 0.278915803962264
"WALKING" 15 0.273899207962963
"WALKING_DOWNSTAIRS" 15 0.280198851190476
"WALKING_UPSTAIRS" 15 0.270187595833333
"LAYING" 16 0.274227162571429
"SITTING" 16 0.280768574492754
"STANDING" 16 0.283497402948718
"WALKING" 16 0.276023564509804
"WALKING_DOWNSTAIRS" 16 0.295586802191489
"WALKING_UPSTAIRS" 16 0.255986102627451
"LAYING" 17 0.269780085577465
"SITTING" 17 0.2773570196875
"STANDING" 17 0.277942503333333
"WALKING" 17 0.272341855245902
"WALKING_DOWNSTAIRS" 17 0.29391828326087
"WALKING_UPSTAIRS" 17 0.252604768583333
"LAYING" 18 0.274691576923077
"SITTING" 18 0.27727001877193
"STANDING" 18 0.278458805890411
"WALKING" 18 0.273887758571429
"WALKING_DOWNSTAIRS" 18 0.288439468909091
"WALKING_UPSTAIRS" 18 0.265401201896552
"LAYING" 19 0.272653733493976
"SITTING" 19 0.273830316164384
"STANDING" 19 0.27817226
"WALKING" 19 0.273931172307692
"WALKING_DOWNSTAIRS" 19 0.262688053871795
"WALKING_UPSTAIRS" 19 0.242118808925
"LAYING" 20 0.239507882205882
"SITTING" 20 0.278045439090909
